,Date,month,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
45,23-Sep-17,Sep,3629.92,3819.21,3594.58,3792.4,"928,114,000","60,190,000,000",3711.16,2.594808768,-0.025467432,TRUE
46,22-Sep-17,Sep,3628.02,3758.27,3553.53,3630.7,"1,194,830,000","60,152,300,000",3629.36,2.521287119,-0.073521649,FALSE
47,21-Sep-17,Sep,3772.19,3894.83,3705.63,3768.325,"1,411,480,000","64,677,600,000",3770.2575,2.647925463,0.126638344,FALSE
48,20-Sep-17,Sep,3916.36,4031.39,3857.73,3905.95,"1,213,830,000","64,918,500,000",3911.155,2.774563807,0.126638344,FALSE
49,19-Sep-17,Sep,4073.79,4094.07,3868.87,3924.97,"1,563,980,000","67,520,300,000",3999.38,2.853860231,0.079296424,TRUE
50,18-Sep-17,Sep,3840.035,3879.44,3657.255,3753.925,"1,943,210,000","59,514,100,000",3796.98,2.671943583,-0.181916648,TRUE
51,17-Sep-17,Sep,3606.28,3664.81,3445.64,3582.88,"1,239,150,000","59,757,800,000",3594.58,2.490026936,-0.181916648,FALSE
52,16-Sep-17,Sep,3637.75,3808.84,3487.79,3625.04,"1,818,400,000","60,271,600,000",3631.395,2.523116172,0.033089236,FALSE
53,15-Sep-17,Sep,3166.3,3733.45,2946.62,3637.52,"4,148,070,000","52,453,500,000",3401.91,2.31685559,-0.206260582,FALSE
54,14-Sep-17,Sep,3649.14,3932.715,3368.27,3760.055,"2,716,310,000","64,191,600,000",3704.5975,2.588910408,0.272054819,FALSE
55,13-Sep-17,Sep,3909.01,4138.6825,3726.745,3945.4325,"2,219,410,000","68,432,200,000",3927.22125,2.789004115,0.200093707,FALSE
56,12-Sep-17,Sep,4168.88,4344.65,4085.22,4130.81,"1,864,530,000","69,033,400,000",4149.845,2.989097822,0.200093707,FALSE
57,11-Sep-17,Sep,4122.47,4261.67,4099.4,4161.27,"1,557,330,000","68,256,000,000",4141.87,2.981929911,-0.007167911,TRUE
58,10-Sep-17,Sep,4229.34,4245.44,3951.04,4122.94,"1,679,090,000","70,018,100,000",4176.14,3.012731707,0.030801796,FALSE
59,9-Sep-17,Sep,4229.81,4308.82,4114.11,4226.06,"1,386,230,000","70,017,200,000",4227.935,3.059284932,0.046553225,FALSE
60,8-Sep-17,Sep,4409.475,4481.93,4302.72,4412.97,"2,700,890,000","76,220,200,000",4411.2225,3.224023309,0.164738377,FALSE
61,7-Sep-17,Sep,4589.14,4655.04,4491.33,4599.88,"1,844,620,000","75,945,000,000",4594.51,3.388761686,0.164738377,TRUE
62,6-Sep-17,Sep,4376.59,4617.25,4376.59,4597.12,"2,172,100,000","72,418,700,000",4486.855,3.292001623,-0.096760063,TRUE
63,5-Sep-17,Sep,4228.29,4427.84,3998.11,4376.53,"2,697,970,000","69,954,400,000",4302.41,3.126222888,-0.165778736,FALSE
64,4-Sep-17,Sep,4406.78,4570.96,4207.85,4479.745,"2,987,330,000","75,955,500,000",4443.2625,3.252820786,0.126597898,FALSE
65,3-Sep-17,Sep,4654.1,4773,4338.545,4529.2575,"1,933,190,000","75,841,700,000",4591.67875,3.386216965,0.133396179,FALSE
66,2-Sep-17,Sep,4901.42,4975.04,4469.24,4578.77,"2,722,140,000","81,060,600,000",4740.095,3.519613144,0.133396179,FALSE
67,1-Sep-17,Sep,4701.76,4892.01,4678.53,4892.01,"2,599,080,000","77,748,400,000",4796.885,3.570655864,0.051042719,TRUE
